Name,Email,Created at,Total,Lineitem sku,Lineitem quantity,Lineitem price,Lineitem line_price
#100038,summersrachel@calhoun-wells.com,2022-03-30 19:44:00,114.04,BOO-014,2,57.02,114.04
#100039,summersrachel@calhoun-wells.com,2022-03-28 05:43:00,108.27,BEA-016,1,62.62,62.62
#100039,summersrachel@calhoun-wells.com,2022-03-28 05:43:00,108.27,BEA-028,1,45.65,45.65
#100040,summersrachel@calhoun-wells.com,2022-03-31 02:58:00,104.78,SPO-024,1,24.85,24.85
#100040,summersrachel@calhoun-wells.com,2022-03-31 02:58:00,104.78,CLO-006,1,34.20,34.20
#100040,summersrachel@calhoun-wells.com,2022-03-31 02:58:00,104.78,BEA-020,1,45.73,45.73
#100041,summersrachel@calhoun-wells.com,2022-04-18 18:39:00,298.16,BEA-029,3,46.01,138.03
#100041,summersrachel@calhoun-wells.com,2022-04-18 18:39:00,298.16,BOO-018,3,48.38,145.13
#100041,summersrachel@calhoun-wells.com,2022-04-18 18:39:00,298.16,ELE-014,3,5.00,15.00
#100043,summersrachel@calhoun-wells.com,2022-04-18 02:23:00,44.89,SPO-013,3,14.96,44.89
#100043,summersrachel@calhoun-wells.com,2022-05-28 03:51:00,204.49,SPO-021,3,28.67,86.00
#100043,summersrachel@calhoun-wells.com,2022-05-28 03:51:00,204.49,SPO-015,1,35.19,35.19
#100043,summersrachel@calhoun-wells.com,2022-05-28 03:51:00,204.49,HOM-022,2,41.65,83.31
#100045,andrew30@hendrix.com,2022-08-22 12:51:00,92.76,HOM-025,2,46.38,92.76
#100045,andrew30@hendrix.com,2022-08-05 08:41:00,194.04,ELE-008,1,28.84,28.84
#100045,andrew30@hendrix.com,2022-08-05 08:41:00,194.04,BOO-007,2,34.06,68.13
#100045,andrew30@hendrix.com,2022-08-05 08:41:00,194.04,ELE-014,2,48.54,97.07
#100047,andrew30@hendrix.com,2022-11-02 20:14:00,66.00,BEA-027,2,33.00,66.00
#100047,andrew30@hendrix.com,2022-11-16 08:14:00,241.32,CLO-022,2,35.60,71.20
#100047,andrew30@hendrix.com,2022-11-16 08:14:00,241.32,ELE-020,3,28.78,86.35
#100047,andrew30@hendrix.com,2022-11-16 08:14:00,241.32,ELE-016,2,41.88,83.77
#100049,andrew30@hendrix.com,2022-11-09 13:14:00,107.72,SPO-020,2,24.24,48.48
#100049,andrew30@hendrix.com,2022-11-09 13:14:00,107.72,CLO-025,1,27.26,27.26
#100049,andrew30@hendrix.com,2022-11-09 13:14:00,107.72,HOM-022,3,10.66,31.98
#100050,robert27@gmail.com,2023-02-06 16:37:00,80.16,SPO-012,2,40.08,80.16
#100051,zhart@mckinney-paul.com,2022-11-22 23:31:00,337.97,SPO-001,2,35.62,71.25
#100051,zhart@mckinney-paul.com,2022-11-22 23:31:00,337.97,ELE-002,3,26.70,80.09
#100051,zhart@mckinney-paul.com,2022-11-22 23:31:00,337.97,CLO-012,3,62.21,186.63
#100052,zhart@mckinney-paul.com,2022-11-03 04:18:00,253.04,BOO-016,3,12.39,37.16
#100052,zhart@mckinney-paul.com,2022-11-03 04:18:00,253.04,CLO-014,2,43.45,86.91
#100052,zhart@mckinney-paul.com,2022-11-03 04:18:00,253.04,CLO-007,3,42.99,128.97
#100054,zhart@mckinney-paul.com,2022-11-18 18:36:00,190.62,CLO-016,2,9.08,18.17
#100054,zhart@mckinney-paul.com,2022-11-18 18:36:00,190.62,BEA-025,3,49.08,147.24
#100054,zhart@mckinney-paul.com,2022-11-18 18:36:00,190.62,CLO-026,1,25.21,25.21
#100055,zhart@mckinney-paul.com,2022-12-10 07:30:00,35.75,BEA-026,1,35.75,35.75
#100056,zhart@mckinney-paul.com,2022-12-18 06:03:00,244.30,BOO-029,1,39.92,39.92
#100056,zhart@mckinney-paul.com,2022-12-18 06:03:00,244.30,CLO-003,2,38.49,76.97
#100056,zhart@mckinney-paul.com,2022-12-18 06:03:00,244.30,BEA-001,2,63.70,127.40
#100057,zhart@mckinney-paul.com,2023-01-08 04:14:00,179.21,BEA-010,1,38.95,38.95
#100057,zhart@mckinney-paul.com,2023-01-08 04:14:00,179.21,HOM-013,1,19.88,19.88
#100057,zhart@mckinney-paul.com,2023-01-08 04:14:00,179.21,BOO-026,2,60.19,120.38
#100059,zhart@mckinney-paul.com,2023-01-22 00:32:00,187.24,BOO-001,1,61.62,61.62
#100059,zhart@mckinney-paul.com,2023-01-22 00:32:00,187.24,CLO-011,2,28.43,56.87
#100059,zhart@mckinney-paul.com,2023-01-22 00:32:00,187.24,CLO-021,1,68.75,68.75
#100060,zhart@mckinney-paul.com,2023-02-26 13:53:00,80.15,CLO-016,3,26.72,80.15
#100061,hector65@scott.com,2023-02-09 21:34:00,49.39,CLO-009,1,49.39,49.39
#100061,hector65@scott.com,2023-04-16 09:36:00,197.39,BOO-023,3,65.80,197.39
#100062,hector65@scott.com,2023-04-24 05:25:00,23.49,BEA-019,1,23.49,23.49
#100062,hector65@scott.com,2023-05-31 22:53:00,95.77,BEA-003,1,68.15,68.15
#100062,hector65@scott.com,2023-05-31 22:53:00,95.77,BOO-026,1,27.63,27.63
#100063,hector65@scott.com,2023-05-10 01:33:00,30.03,ELE-027,1,30.03,30.03
#100064,kristenharvey@hotmail.com,2023-01-01 07:24:00,165.26,HOM-015,1,13.90,13.90
#100064,kristenharvey@hotmail.com,2023-01-01 07:24:00,165.26,HOM-019,3,50.45,151.36
#100065,rebecca22@yahoo.com,2022-07-17 21:40:00,77.23,HOM-012,2,5.00,10.00
#100065,rebecca22@yahoo.com,2022-07-17 21:40:00,77.23,ELE-030,3,22.41,67.23
#100066,rebecca22@yahoo.com,2022-07-03 11:56:00,69.34,ELE-014,1,27.64,27.64
#100066,rebecca22@yahoo.com,2022-07-03 11:56:00,69.34,HOM-006,1,41.69,41.69
#100067,rebecca22@yahoo.com,2022-08-10 10:08:00,181.99,SPO-024,1,36.89,36.89
#100067,rebecca22@yahoo.com,2022-08-10 10:08:00,181.99,CLO-008,3,48.37,145.10
#100068,rebecca22@yahoo.com,2022-10-04 07:54:00,91.45,ELE-013,2,23.74,47.49
#100068,rebecca22@yahoo.com,2022-10-04 07:54:00,91.45,SPO-028,1,43.96,43.96
#100069,rebecca22@yahoo.com,2022-10-13 08:28:00,195.23,BEA-030,2,59.13,118.25
#100069,rebecca22@yahoo.com,2022-10-13 08:28:00,195.23,HOM-029,2,24.83,49.67
#100069,rebecca22@yahoo.com,2022-10-13 08:28:00,195.23,SPO-011,1,27.31,27.31
#100070,townsendronald@gmail.com,2023-04-22 19:07:00,20.94,CLO-026,3,6.98,20.94
#100071,townsendronald@gmail.com,2023-04-14 02:17:00,160.10,ELE-029,3,28.19,84.57
#100071,townsendronald@gmail.com,2023-04-14 02:17:00,160.10,ELE-027,2,37.76,75.52
#100072,townsendronald@gmail.com,2023-06-05 19:30:00,95.59,ELE-012,3,31.86,95.59
#100072,bakerchristopher@mitchell-gregory.info,2023-05-21 03:19:00,135.00,SPO-026,2,24.60,49.20
#100072,bakerchristopher@mitchell-gregory.info,2023-05-21 03:19:00,135.00,HOM-020,2,42.90,85.80
#100073,bakerchristopher@mitchell-gregory.info,2023-06-21 00:30:00,162.85,SPO-026,3,31.84,95.53
#100073,bakerchristopher@mitchell-gregory.info,2023-06-21 00:30:00,162.85,HOM-002,1,24.31,24.31
#100073,bakerchristopher@mitchell-gregory.info,2023-06-21 00:30:00,162.85,ELE-027,1,43.01,43.01
#100075,elizabeth02@jennings.biz,2023-03-04 07:06:00,179.09,BEA-009,2,20.31,40.62
#100075,elizabeth02@jennings.biz,2023-03-04 07:06:00,179.09,HOM-012,1,52.49,52.49
#100075,elizabeth02@jennings.biz,2023-03-04 07:06:00,179.09,BEA-002,2,42.99,85.98
#100076,elizabeth02@jennings.biz,2023-03-14 01:08:00,197.86,CLO-008,2,23.86,47.72
#100076,elizabeth02@jennings.biz,2023-03-14 01:08:00,197.86,BEA-010,3,50.05,150.14
#100077,elizabeth02@jennings.biz,2023-03-09 05:37:00,177.71,SPO-008,3,15.83,47.48
#100077,elizabeth02@jennings.biz,2023-03-09 05:37:00,177.71,CLO-008,2,42.36,84.72
#100077,elizabeth02@jennings.biz,2023-03-09 05:37:00,177.71,SPO-005,1,45.51,45.51
#100079,elizabeth02@jennings.biz,2023-05-06 02:06:00,58.82,BOO-015,2,17.93,35.85
#100079,elizabeth02@jennings.biz,2023-05-06 02:06:00,58.82,BOO-030,1,22.96,22.96
#100080,elizabeth02@jennings.biz,2023-05-22 20:23:00,402.86,BEA-003,3,62.64,187.91
#100080,elizabeth02@jennings.biz,2023-05-22 20:23:00,402.86,ELE-002,3,36.96,110.88
#100080,elizabeth02@jennings.biz,2023-05-22 20:23:00,402.86,CLO-024,2,52.03,104.07
#100081,elizabeth02@jennings.biz,2023-05-07 23:40:00,101.27,CLO-030,2,9.51,19.02
#100081,elizabeth02@jennings.biz,2023-05-07 23:40:00,101.27,HOM-006,1,35.25,35.25
#100081,elizabeth02@jennings.biz,2023-05-07 23:40:00,101.27,ELE-024,2,23.50,47.00
#100083,ewalter@dawson.com,2022-10-10 08:06:00,59.86,CLO-012,1,22.67,22.67
#100083,ewalter@dawson.com,2022-10-10 08:06:00,59.86,SPO-023,1,37.20,37.20
#100084,ewalter@dawson.com,2022-10-20 17:00:00,126.90,HOM-024,3,32.91,98.72
#100084,ewalter@dawson.com,2022-10-20 17:00:00,126.90,BOO-005,1,28.17,28.17
#100085,ewalter@dawson.com,2022-10-18 03:22:00,46.88,ELE-030,1,46.88,46.88
#100085,ewalter@dawson.com,2022-11-14 00:12:00,70.89,SPO-005,1,40.13,40.13
#100085,ewalter@dawson.com,2022-11-14 00:12:00,70.89,BEA-016,1,30.77,30.77
#100086,ewalter@dawson.com,2022-11-22 05:23:00,282.66,BEA-028,2,53.98,107.96
#100086,ewalter@dawson.com,2022-11-22 05:23:00,282.66,BEA-010,3,58.23,174.70
#100087,ewalter@dawson.com,2022-11-26 09:34:00,180.63,BOO-014,2,36.55,73.09
#100087,ewalter@dawson.com,2022-11-26 09:34:00,180.63,CLO-007,1,16.83,16.83
#100087,ewalter@dawson.com,2022-11-26 09:34:00,180.63,BOO-007,2,45.35,90.71
#100089,ewalter@dawson.com,2022-12-16 23:57:00,225.98,CLO-015,3,36.70,110.09
#100089,ewalter@dawson.com,2022-12-16 23:57:00,225.98,BOO-011,1,31.39,31.39
#100089,ewalter@dawson.com,2022-12-16 23:57:00,225.98,CLO-022,3,28.17,84.51
#100090,ricedaniel@gmail.com,2022-01-20 22:41:00,53.75,HOM-001,3,17.92,53.75
#100091,ricedaniel@gmail.com,2022-01-05 10:23:00,91.87,SPO-030,2,34.82,69.65
#100091,ricedaniel@gmail.com,2022-01-05 10:23:00,91.87,CLO-011,1,22.22,22.22
#100092,ricedaniel@gmail.com,2022-02-06 04:05:00,60.20,BEA-020,1,39.49,39.49
#100092,ricedaniel@gmail.com,2022-02-06 04:05:00,60.20,HOM-029,1,20.70,20.70
#100093,ricedaniel@gmail.com,2022-02-19 05:10:00,270.95,BOO-009,2,35.37,70.74
#100093,ricedaniel@gmail.com,2022-02-19 05:10:00,270.95,CLO-028,2,31.99,63.97
#100093,ricedaniel@gmail.com,2022-02-19 05:10:00,270.95,BEA-028,3,45.41,136.24
#100094,ricedaniel@gmail.com,2022-06-30 16:41:00,168.70,BOO-024,2,23.52,47.04
#100094,ricedaniel@gmail.com,2022-06-30 16:41:00,168.70,SPO-011,3,40.55,121.66
#100095,lisa62@green.com,2023-03-11 02:55:00,52.46,CLO-001,1,37.46,37.46
#100095,lisa62@green.com,2023-03-11 02:55:00,52.46,BEA-006,3,5.00,15.00
#100096,lisa62@green.com,2023-03-24 10:04:00,260.40,HOM-001,1,31.14,31.14
#100096,lisa62@green.com,2023-03-24 10:04:00,260.40,BOO-013,3,49.60,148.80
#100096,lisa62@green.com,2023-03-24 10:04:00,260.40,CLO-001,3,26.82,80.46
#100098,lisa62@green.com,2023-05-14 23:41:00,48.58,ELE-014,2,24.29,48.58
#100098,jeffery44@wilcox.com,2023-03-17 00:34:00,244.81,ELE-025,1,7.61,7.61
#100098,jeffery44@wilcox.com,2023-03-17 00:34:00,244.81,HOM-028,2,36.80,73.59
#100098,jeffery44@wilcox.com,2023-03-17 00:34:00,244.81,ELE-016,3,54.53,163.60
#100100,jeffery44@wilcox.com,2023-03-22 02:48:00,94.68,SPO-001,1,48.48,48.48
#100100,jeffery44@wilcox.com,2023-03-22 02:48:00,94.68,CLO-009,2,23.10,46.20
#100101,jeffery44@wilcox.com,2023-03-17 15:56:00,66.79,ELE-022,1,66.79,66.79
#100101,wallacetheresa@yahoo.com,2023-05-09 22:58:00,144.07,ELE-021,2,36.54,73.08
#100101,wallacetheresa@yahoo.com,2023-05-09 22:58:00,144.07,SPO-023,1,47.28,47.28
#100101,wallacetheresa@yahoo.com,2023-05-09 22:58:00,144.07,BEA-022,3,7.90,23.71
#100103,wallacetheresa@yahoo.com,2023-05-01 15:35:00,236.83,ELE-011,3,57.68,173.05
#100103,wallacetheresa@yahoo.com,2023-05-01 15:35:00,236.83,HOM-020,1,63.78,63.78
#100104,wallacetheresa@yahoo.com,2023-05-18 19:40:00,79.43,CLO-011,2,39.71,79.43
#100104,cowanjessica@farmer.com,2022-09-10 09:03:00,90.97,SPO-015,2,26.92,53.84
#100104,cowanjessica@farmer.com,2022-09-10 09:03:00,90.97,HOM-012,1,37.12,37.12
#100105,cowanjessica@farmer.com,2022-09-15 06:38:00,115.75,ELE-015,1,24.64,24.64
#100105,cowanjessica@farmer.com,2022-09-15 06:38:00,115.75,BOO-013,2,45.55,91.10
#100106,cowanjessica@farmer.com,2022-09-28 12:57:00,42.31,HOM-020,1,22.23,22.23
#100106,cowanjessica@farmer.com,2022-09-28 12:57:00,42.31,ELE-004,1,20.08,20.08
#100107,floresdanielle@yahoo.com,2023-02-24 11:16:00,53.58,CLO-020,1,53.58,53.58
#100108,floresdanielle@yahoo.com,2023-02-14 16:28:00,121.77,CLO-020,2,32.26,64.51
#100108,floresdanielle@yahoo.com,2023-02-14 16:28:00,121.77,HOM-016,2,28.63,57.25
#100109,floresdanielle@yahoo.com,2023-02-19 05:22:00,13.42,CLO-004,1,13.42,13.42
#100109,floresdanielle@yahoo.com,2023-03-28 19:00:00,58.52,HOM-030,2,29.26,58.52
#100110,floresdanielle@yahoo.com,2023-04-18 08:26:00,187.68,ELE-025,3,33.37,100.12
#100110,floresdanielle@yahoo.com,2023-04-18 08:26:00,187.68,ELE-009,3,29.18,87.55
#100111,floresdanielle@yahoo.com,2023-04-30 17:17:00,64.94,BEA-007,1,11.43,11.43
#100111,floresdanielle@yahoo.com,2023-04-30 17:17:00,64.94,BEA-015,1,44.91,44.91
#100111,floresdanielle@yahoo.com,2023-04-30 17:17:00,64.94,BOO-021,1,8.60,8.60
#100112,margaretspence@hotmail.com,2023-04-03 14:55:00,49.09,SPO-023,1,49.09,49.09
#100113,margaretspence@hotmail.com,2023-05-29 17:01:00,75.20,ELE-009,2,37.60,75.20
#100113,margaretspence@hotmail.com,2023-05-24 06:01:00,74.62,HOM-005,2,20.25,40.51
#100113,margaretspence@hotmail.com,2023-05-24 06:01:00,74.62,SPO-024,1,34.12,34.12
#100114,margaretspence@hotmail.com,2023-06-19 13:04:00,235.96,BEA-016,1,57.91,57.91
#100114,margaretspence@hotmail.com,2023-06-19 13:04:00,235.96,BOO-002,1,36.96,36.96
#100114,margaretspence@hotmail.com,2023-06-19 13:04:00,235.96,SPO-004,3,47.03,141.09
#100116,benjaminramsey@yahoo.com,2023-04-24 01:47:00,209.59,HOM-018,3,43.34,130.03
#100116,benjaminramsey@yahoo.com,2023-04-24 01:47:00,209.59,BOO-021,2,39.78,79.56
#100117,benjaminramsey@yahoo.com,2023-04-15 00:24:00,121.01,BEA-007,1,5.00,5.00
#100117,benjaminramsey@yahoo.com,2023-04-15 00:24:00,121.01,BEA-013,2,5.00,10.00
#100117,benjaminramsey@yahoo.com,2023-04-15 00:24:00,121.01,BOO-008,3,35.34,106.01
#100118,benjaminramsey@yahoo.com,2023-06-18 14:59:00,123.53,BEA-011,1,48.97,48.97
#100118,benjaminramsey@yahoo.com,2023-06-18 14:59:00,123.53,BOO-022,2,37.28,74.56
#100119,danielle90@gmail.com,2022-07-09 12:34:00,130.09,CLO-023,2,34.67,69.34
#100119,danielle90@gmail.com,2022-07-09 12:34:00,130.09,HOM-002,2,30.37,60.75
#100120,danielle90@gmail.com,2022-07-17 07:52:00,229.56,ELE-003,2,54.41,108.82
#100120,danielle90@gmail.com,2022-07-17 07:52:00,229.56,BEA-006,3,40.25,120.74
#100121,danielle90@gmail.com,2022-07-16 01:34:00,105.55,HOM-018,3,30.01,90.04
#100121,danielle90@gmail.com,2022-07-16 01:34:00,105.55,SPO-007,1,15.50,15.50
#100122,danielle90@gmail.com,2022-09-16 01:22:00,128.72,BOO-005,2,32.84,65.67
#100122,danielle90@gmail.com,2022-09-16 01:22:00,128.72,CLO-016,3,13.59,40.77
#100122,danielle90@gmail.com,2022-09-16 01:22:00,128.72,BEA-026,1,22.28,22.28
#100124,danielle90@gmail.com,2022-09-20 12:46:00,48.67,BEA-004,1,48.67,48.67
#100124,rjohnson@hotmail.com,2022-03-28 22:05:00,219.63,BEA-013,2,31.75,63.50
#100124,rjohnson@hotmail.com,2022-03-28 22:05:00,219.63,HOM-003,3,52.04,156.13
#100125,rjohnson@hotmail.com,2022-03-20 03:15:00,38.79,SPO-019,1,38.79,38.79
#100126,rjohnson@hotmail.com,2022-04-10 23:29:00,253.45,BOO-019,3,65.08,195.25
#100126,rjohnson@hotmail.com,2022-04-10 23:29:00,253.45,BOO-026,1,24.88,24.88
#100126,rjohnson@hotmail.com,2022-04-10 23:29:00,253.45,SPO-012,1,33.32,33.32
#100127,rjohnson@hotmail.com,2022-04-10 10:41:00,196.00,CLO-017,2,41.18,82.36
#100127,rjohnson@hotmail.com,2022-04-10 10:41:00,196.00,BOO-024,2,26.37,52.74
#100127,rjohnson@hotmail.com,2022-04-10 10:41:00,196.00,SPO-010,2,30.45,60.89
#100129,phillip45@yahoo.com,2022-03-18 21:45:00,61.05,BEA-019,1,46.05,46.05
#100129,phillip45@yahoo.com,2022-03-18 21:45:00,61.05,BOO-001,3,5.00,15.00
#100130,harmonrobert@gmail.com,2023-04-03 15:27:00,37.00,BEA-025,2,18.50,37.00
#100130,harmonrobert@gmail.com,2023-04-24 20:52:00,233.62,ELE-030,3,15.52,46.55
#100130,harmonrobert@gmail.com,2023-04-24 20:52:00,233.62,SPO-004,3,42.03,126.09
#100130,harmonrobert@gmail.com,2023-04-24 20:52:00,233.62,SPO-015,1,60.99,60.99
#100132,harmonrobert@gmail.com,2023-04-03 14:21:00,205.35,SPO-029,2,30.58,61.17
#100132,harmonrobert@gmail.com,2023-04-03 14:21:00,205.35,BEA-022,2,25.43,50.86
#100132,harmonrobert@gmail.com,2023-04-03 14:21:00,205.35,BOO-017,2,46.66,93.32
#100133,hendersonbeth@jimenez.com,2022-05-20 18:16:00,38.85,SPO-025,2,19.43,38.85
#100134,hendersonbeth@jimenez.com,2022-07-05 20:15:00,115.14,HOM-008,2,57.57,115.14
#100134,hendersonbeth@jimenez.com,2022-07-24 07:21:00,100.84,CLO-027,1,26.34,26.34
#100134,hendersonbeth@jimenez.com,2022-07-24 07:21:00,100.84,SPO-025,2,37.25,74.50
#100135,hendersonbeth@jimenez.com,2022-09-11 02:35:00,140.82,ELE-013,2,31.82,63.64
#100135,hendersonbeth@jimenez.com,2022-09-11 02:35:00,140.82,BEA-030,2,25.32,50.65
#100135,hendersonbeth@jimenez.com,2022-09-11 02:35:00,140.82,BEA-014,2,13.27,26.53
#100137,hendersonbeth@jimenez.com,2022-10-19 02:12:00,53.48,BEA-029,2,26.74,53.48
#100137,hendersonbeth@jimenez.com,2022-10-06 17:53:00,44.89,ELE-017,1,44.89,44.89
#100138,hendersonbeth@jimenez.com,2023-01-12 11:24:00,206.39,BOO-024,3,36.20,108.61
#100138,hendersonbeth@jimenez.com,2023-01-12 11:24:00,206.39,HOM-022,3,26.07,78.21
#100138,hendersonbeth@jimenez.com,2023-01-12 11:24:00,206.39,ELE-002,1,19.57,19.57
